City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
109,Cidreira,BR,2020-05-10 16:22:12,-30.18,-50.21,73.27,50,0,4.09,clear sky,0.0,0.0
110,Chilca,PE,2020-05-10 16:22:12,-12.52,-76.74,75.2,60,32,14.99,scattered clouds,0.0,0.0
111,Namatanai,PG,2020-05-10 16:22:12,-3.67,152.43,80.74,78,100,6.42,overcast clouds,0.0,0.0
112,Touros,BR,2020-05-10 16:22:12,-5.2,-35.46,86.0,66,20,16.11,few clouds,0.0,0.0
113,Port Keats,AU,2020-05-10 16:22:12,-14.25,129.55,81.93,38,95,8.59,overcast clouds,0.0,0.0
114,Eldorado,BR,2020-05-10 16:22:13,-23.79,-54.28,80.96,49,0,11.5,clear sky,0.0,0.0
115,Umm Lajj,SA,2020-05-10 16:22:13,25.02,37.27,78.26,61,24,11.92,few clouds,0.0,0.0
116,Ribeira Grande,PT,2020-05-10 16:22:13,38.52,-28.7,64.4,59,20,20.8,few clouds,0.0,0.0
117,Samdari,IN,2020-05-10 16:22:13,25.82,72.58,96.39,16,0,11.9,clear sky,0.0,0.0
118,Plettenberg Bay,ZA,2020-05-10 16:22:13,-34.05,23.37,69.35,42,0,1.95,clear sky,0.0,0.0
119,Upernavik,GL,2020-05-10 16:22:13,72.79,-56.15,16.88,90,62,12.19,broken clouds,0.0,0.0
120,Beaverlodge,CA,2020-05-10 16:22:14,55.22,-119.44,41.0,65,75,11.41,broken clouds,0.0,0.0
121,Margate,GB,2020-05-10 16:22:14,51.38,1.39,51.01,82,100,34.09,overcast clouds,0.0,0.0
122,Ewa Beach,US,2020-05-10 16:22:14,21.32,-158.01,71.6,73,1,4.7,clear sky,0.0,0.0
123,Talnakh,RU,2020-05-10 16:22:14,69.49,88.4,33.8,86,75,11.18,broken clouds,0.0,0.0
124,Pangnirtung,CA,2020-05-10 16:22:14,66.15,-65.71,24.8,73,90,13.87,light snow,0.0,0.0
