City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Cap Malheureux,MU,2020-05-07 01:46:12,-19.98,57.61,73.99,86,32,5.99
231,Bacolod,PH,2020-05-07 01:46:13,10.67,122.95,88.57,62,91,4.41
232,Vila,PT,2020-05-07 01:46:13,42.03,-8.16,53.01,92,100,1.01
233,Olafsvik,IS,2020-05-07 01:46:13,64.89,-23.71,42.08,89,62,11.77
234,Okaihau,NZ,2020-05-07 01:46:13,-35.32,173.78,64.99,57,96,7.0
235,Pangody,RU,2020-05-07 01:46:13,65.85,74.49,21.92,97,100,4.68
236,Lapugiu De Jos,RO,2020-05-07 01:46:13,45.88,22.48,43.48,88,100,4.16
237,Hobyo,SO,2020-05-07 01:46:14,5.35,48.53,83.43,73,18,7.02
238,Lebu,CL,2020-05-07 01:46:14,-37.62,-73.65,57.38,77,38,17.29
239,Bredasdorp,ZA,2020-05-07 01:46:14,-34.53,20.04,51.8,87,98,2.24
240,Koulikoro,ML,2020-05-07 01:46:14,14.0,-7.75,89.74,30,37,6.06
241,Bambous Virieux,MU,2020-05-07 01:46:14,-20.34,57.76,73.99,100,40,3.36
242,Batemans Bay,AU,2020-05-07 01:46:14,-35.72,150.18,63.0,76,100,4.52
243,Itarema,BR,2020-05-07 01:46:14,-2.92,-39.92,77.7,88,3,9.51
244,Mahibadhoo,MV,2020-05-07 01:46:15,3.78,72.97,84.45,75,0,10.2
245,Roma,US,2020-05-07 01:42:10,43.21,-75.46,50.0,39,20,6.93
246,Sao Joao Da Barra,BR,2020-05-07 01:46:15,-21.64,-41.05,73.74,81,90,5.23
247,Naze,JP,2020-05-07 01:46:15,28.37,129.48,77.0,78,75,21.92
248,Anchorage,US,2020-05-07 01:46:10,61.22,-149.9,64.4,22,20,6.93
249,Angoram,PG,2020-05-07 01:46:15,-4.06,144.07,88.23,65,100,3.11
250,Warri,NG,2020-05-07 01:46:16,5.52,5.75,78.49,93,79,3.24
